00007FFDC1D8D097 Export 1    AcquireSRWLockExclusive
00007FFDC1D8D0CD Export 2    AcquireSRWLockShared
00007FFDC1D10080 Export 3    ActivateActCtx
00007FFDC1D0B700 Export 4    ActivateActCtxWorker
00007FFDC1D49170 Export 5    AddAtomA
00007FFDC1D028F0 Export 6    AddAtomW
00007FFDC1D15640 Export 7    AddConsoleAliasA
00007FFDC1D15650 Export 8    AddConsoleAliasW
00007FFDC1D8D153 Export 9    AddDllDirectory
00007FFDC1D2BD10 Export 10   AddIntegrityLabelToBoundaryDescriptor
00007FFDC1D492B0 Export 11   AddLocalAlternateComputerNameA
00007FFDC1D49310 Export 12   AddLocalAlternateComputerNameW
00007FFDC1D12270 Export 13   AddRefActCtx
00007FFDC1D0E2C0 Export 14   AddRefActCtxWorker
00007FFDC1D29650 Export 15   AddResourceAttributeAce
00007FFDC1D108A0 Export 16   AddSIDToBoundaryDescriptor
00007FFDC1D29670 Export 17   AddScopedPolicyIDAce
00007FFDC1D27A70 Export 18   AddSecureMemoryCacheCallback
00007FFDC1D8D28C Export 19   AddVectoredContinueHandler
00007FFDC1D8D2CC Export 20   AddVectoredExceptionHandler
00007FFDC1CF7200 Export 21   AdjustCalendarDate
00007FFDC1D15290 Export 22   AllocConsole
00007FFDC1D296B0 Export 23   AllocateUserPhysicalPages
00007FFDC1D29690 Export 24   AllocateUserPhysicalPagesNuma
00007FFDC1D8D35F Export 25   AppPolicyGetClrCompat
00007FFDC1D8D39D Export 26   AppPolicyGetCreateFileAccess
00007FFDC1D8D3E5 Export 27   AppPolicyGetLifecycleManagement
00007FFDC1D8D438 Export 28   AppPolicyGetMediaFoundationCodecLoading
00007FFDC1D8D490 Export 29   AppPolicyGetProcessTerminationMethod
00007FFDC1D8D4E4 Export 30   AppPolicyGetShowDeveloperDiagnostic
00007FFDC1D8D538 Export 31   AppPolicyGetThreadInitializationType
00007FFDC1D8D583 Export 32   AppPolicyGetWindowingModel
00007FFDC1D8D5C3 Export 33   AppXGetOSMaxVersionTested
00007FFDC1D32E60 Export 34   ApplicationRecoveryFinished
00007FFDC1D32E70 Export 35   ApplicationRecoveryInProgress
00007FFDC1D10BF0 Export 36   AreFileApisANSI
00007FFDC1D65FE8 Symbol      AslpFileGetExportName
00007FFDC1D66754 Symbol      AslpFileGetPeExportNameExeWrapper
00007FFDC1D676C4 Symbol      AslpFileQueryExportName
00007FFDC1D67884 Symbol      AslpFileQueryExportName$filt$0
00007FFDC1D0FF00 Export 37   AssignProcessToJobObject
00007FFDC1D152A0 Export 38   AttachConsole
00007FFDC1D4BD10 Export 39   BackupRead
00007FFDC1D4CED0 Export 40   BackupSeek
00007FFDC1D4D1B0 Export 41   BackupWrite
00007FFDC1D29730 Export 42   BaseCheckAppcompatCache
00007FFDC1D296D0 Export 43   BaseCheckAppcompatCacheEx
00007FFDC1D10F60 Export 44   BaseCheckAppcompatCacheExWorker
